,app,date,device,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
2017-10-01T00:03:08Z,AirBox,2017-10-01,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,15738.0,100.0,1.0,0.0,45.0,58.0,32.0,100.0,33.75,1506816188.0,00:03:08,2017-10-01T00:03:08Z,0.35.2,3
2017-10-02T00:14:02Z,AirBox,2017-10-02,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,15982.0,100.0,1.0,0.0,48.0,63.0,34.0,100.0,34.25,1506903242.0,00:14:02,2017-10-02T00:14:02Z,0.35.2,3
2017-10-03T00:06:44Z,AirBox,2017-10-03,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,16223.0,100.0,1.0,0.0,49.0,63.0,34.0,100.0,34.12,1506989204.0,00:06:44,2017-10-03T00:06:44Z,0.35.2,3
2017-10-04T00:10:46Z,AirBox,2017-10-04,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,16467.0,100.0,1.0,0.0,26.0,28.0,19.0,100.0,33.25,1507075846.0,00:10:46,2017-10-04T00:10:46Z,0.35.2,3
2017-10-05T00:42:56Z,AirBox,2017-10-05,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,16716.0,100.0,1.0,0.0,14.0,15.0,11.0,100.0,32.25,1507164176.0,00:42:56,2017-10-05T00:42:56Z,0.35.2,3
2017-10-06T00:46:01Z,AirBox,2017-10-06,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,16960.0,100.0,1.0,0.0,37.0,45.0,25.0,100.0,33.5,1507250761.0,00:46:01,2017-10-06T00:46:01Z,0.35.2,3
2017-10-07T00:25:22Z,AirBox,2017-10-07,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,17200.0,100.0,1.0,0.0,23.0,24.0,18.0,100.0,33.62,1507335922.0,00:25:22,2017-10-07T00:25:22Z,0.35.2,3
2017-10-08T00:10:44Z,AirBox,2017-10-08,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,17441.0,100.0,1.0,0.0,21.0,23.0,16.0,100.0,33.5,1507421444.0,00:10:44,2017-10-08T00:10:44Z,0.35.2,3
2017-10-09T03:23:56Z,AirBox,2017-10-09,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,17717.0,100.0,1.0,0.0,46.0,59.0,32.0,100.0,35.5,1507519436.0,03:23:56,2017-10-09T03:23:56Z,0.35.2,3
2017-10-10T01:59:55Z,AirBox,2017-10-10,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,17946.0,100.0,1.0,0.0,72.0,80.0,55.0,100.0,35.25,1507600795.0,01:59:55,2017-10-10T01:59:55Z,0.35.2,3
2017-10-12T00:16:42Z,AirBox,2017-10-12,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,18414.0,100.0,1.0,0.0,4.0,5.0,3.0,100.0,33.37,1507767402.0,00:16:42,2017-10-12T00:16:42Z,0.35.2,3
2017-10-13T00:54:30Z,AirBox,2017-10-13,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,18664.0,100.0,1.0,0.0,10.0,10.0,7.0,100.0,31.37,1507856070.0,00:54:30,2017-10-13T00:54:30Z,0.35.2,3
2017-10-14T00:15:53Z,AirBox,2017-10-14,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,18900.0,100.0,1.0,0.0,11.0,11.0,9.0,100.0,30.37,1507940153.0,00:15:53,2017-10-14T00:15:53Z,0.35.2,3
2017-10-15T00:13:42Z,AirBox,2017-10-15,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,19141.0,100.0,1.0,0.0,13.0,14.0,10.0,100.0,29.75,1508026422.0,00:13:42,2017-10-15T00:13:42Z,0.35.2,3
2017-10-16T00:10:26Z,AirBox,2017-10-16,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,19384.0,100.0,1.0,0.0,26.0,27.0,20.0,100.0,30.87,1508112626.0,00:10:26,2017-10-16T00:10:26Z,0.35.2,3
2017-10-17T00:01:03Z,AirBox,2017-10-17,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,19625.0,100.0,1.0,0.0,20.0,21.0,15.0,100.0,30.62,1508198463.0,00:01:03,2017-10-17T00:01:03Z,0.35.2,3
2017-10-18T00:21:11Z,AirBox,2017-10-18,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,19871.0,100.0,1.0,0.0,20.0,22.0,16.0,100.0,30.12,1508286071.0,00:21:11,2017-10-18T00:21:11Z,0.35.2,3
2017-10-19T00:11:45Z,AirBox,2017-10-19,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,20113.0,100.0,1.0,0.0,26.0,28.0,19.0,100.0,28.62,1508371905.0,00:11:45,2017-10-19T00:11:45Z,0.35.2,3
2017-10-20T00:02:02Z,AirBox,2017-10-20,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,1.0,100.0,1.0,0.0,17.0,18.0,13.0,100.0,30.0,1508457722.0,00:02:02,2017-10-20T00:02:02Z,0.35.2,3
2017-10-21T00:10:28Z,AirBox,2017-10-21,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,246.0,100.0,1.0,0.0,31.0,34.0,23.0,100.0,26.87,1508544628.0,00:10:28,2017-10-21T00:10:28Z,0.35.2,3
2017-10-22T00:19:00Z,AirBox,2017-10-22,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,491.0,100.0,1.0,0.0,31.0,34.0,22.0,91.0,26.37,1508631540.0,00:19:00,2017-10-22T00:19:00Z,0.35.2,3
2017-10-23T00:28:14Z,AirBox,2017-10-23,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,736.0,100.0,1.0,0.0,45.0,57.0,30.0,79.0,26.75,1508718494.0,00:28:14,2017-10-23T00:28:14Z,0.35.2,3
2017-10-24T00:02:24Z,AirBox,2017-10-24,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,975.0,100.0,1.0,0.0,38.0,45.0,27.0,94.0,26.87,1508803344.0,00:02:24,2017-10-24T00:02:24Z,0.35.2,3
2017-10-25T00:17:26Z,AirBox,2017-10-25,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,1221.0,100.0,1.0,0.0,31.0,34.0,23.0,100.0,26.75,1508890646.0,00:17:26,2017-10-25T00:17:26Z,0.35.2,3
2017-10-26T00:20:11Z,AirBox,2017-10-26,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,1464.0,100.0,1.0,0.0,22.0,23.0,17.0,92.0,27.0,1508977211.0,00:20:11,2017-10-26T00:20:11Z,0.35.2,3
2017-10-27T00:11:02Z,AirBox,2017-10-27,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,1705.0,100.0,1.0,0.0,31.0,34.0,23.0,96.0,27.12,1509063062.0,00:11:02,2017-10-27T00:11:02Z,0.35.2,3
2017-10-28T00:14:04Z,AirBox,2017-10-28,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,1949.0,100.0,1.0,0.0,40.0,48.0,28.0,100.0,27.0,1509149644.0,00:14:04,2017-10-28T00:14:04Z,0.35.2,3
2017-10-29T00:05:40Z,AirBox,2017-10-29,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,2191.0,100.0,1.0,0.0,42.0,52.0,29.0,100.0,26.37,1509235540.0,00:05:40,2017-10-29T00:05:40Z,0.35.2,3
2017-10-30T00:02:55Z,AirBox,2017-10-30,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,2434.0,100.0,1.0,0.0,21.0,23.0,16.0,87.0,25.87,1509321775.0,00:02:55,2017-10-30T00:02:55Z,0.35.2,3
2017-10-31T00:22:48Z,AirBox,2017-10-31,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,2680.0,100.0,1.0,0.0,16.0,17.0,13.0,85.0,26.25,1509409368.0,00:22:48,2017-10-31T00:22:48Z,0.35.2,3
2017-11-01T00:19:44Z,AirBox,2017-11-01,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,2923.0,100.0,1.0,0.0,36.0,44.0,26.0,100.0,27.0,1509495584.0,00:19:44,2017-11-01T00:19:44Z,0.35.2,3
2017-11-02T00:04:57Z,AirBox,2017-11-02,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,3164.0,100.0,1.0,0.0,36.0,42.0,25.0,100.0,28.62,1509581097.0,00:04:57,2017-11-02T00:04:57Z,0.35.2,3
2017-11-03T00:01:47Z,AirBox,2017-11-03,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,3407.0,100.0,1.0,0.0,24.0,25.0,18.0,100.0,27.5,1509667307.0,00:01:47,2017-11-03T00:01:47Z,0.35.2,3
2017-11-04T00:34:06Z,AirBox,2017-11-04,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,3655.0,100.0,1.0,0.0,32.0,37.0,23.0,100.0,26.62,1509755646.0,00:34:06,2017-11-04T00:34:06Z,0.35.2,3
2017-11-05T00:19:14Z,AirBox,2017-11-05,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,3896.0,100.0,1.0,0.0,7.0,7.0,5.0,100.0,25.75,1509841154.0,00:19:14,2017-11-05T00:19:14Z,0.35.2,3
2017-11-06T00:10:18Z,AirBox,2017-11-06,xe8x87xbaxe4xb8xadxe5xb8x82xe9xb9xbfxe5xb3xb0xe5x9cx8bxe5xb0x8f,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,4137.0,100.0,1.0,0.0,33.0,39.0,24.0,100.0,27.12,1509927018.0,00:10:18,2017-11-06T00:10:18Z,0.35.2,3
2017-11-07T00:13:41Z,AirBox,2017-11-07,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,4381.0,100.0,1.0,0.0,81.0,94.0,56.0,100.0,27.75,1510013621.0,00:13:41,2017-11-07T00:13:41Z,0.35.2,3
2017-11-08T00:11:06Z,AirBox,2017-11-08,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,4624.0,100.0,1.0,0.0,21.0,23.0,16.0,100.0,28.37,1510099866.0,00:11:06,2017-11-08T00:11:06Z,0.35.2,3
2017-11-09T00:31:45Z,AirBox,2017-11-09,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,4871.0,100.0,1.0,0.0,18.0,19.0,13.0,100.0,29.0,1510187505.0,00:31:45,2017-11-09T00:31:45Z,0.35.2,3
2017-11-10T00:11:20Z,AirBox,2017-11-10,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,5110.0,100.0,1.0,0.0,47.0,61.0,33.0,100.0,29.5,1510272680.0,00:11:20,2017-11-10T00:11:20Z,0.35.2,3
2017-11-11T00:14:35Z,AirBox,2017-11-11,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,5353.0,100.0,1.0,0.0,53.0,68.0,38.0,100.0,27.5,1510359275.0,00:14:35,2017-11-11T00:14:35Z,0.35.2,3
2017-11-12T00:23:03Z,AirBox,2017-11-12,臺中市鹿峰國小,74DA3895C25A,1,2.0,1.0,24.25,120.559,9.0,5597.0,100.0,1.0,0.0,14.0,15.0,11.0,100.0,26.62,1510446183.0,00:23:03,2017-11-12T00:23:03Z,0.35.2,3
